Lat,Lon,Lat1,Lon1,Lat2,Lon2,Confirmed,Date
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,0,0:00:00
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,1,0:00:01
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,2,0:00:02
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,3,0:00:03
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,4,0:00:04
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,5,0:00:05
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,6,0:00:06
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,7,0:00:07
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,8,0:00:08
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,9,0:00:09
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,10,0:00:10
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,11,0:00:11
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,12,0:00:12
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,13,0:00:13
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,14,0:00:14
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,15,0:00:15
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,16,0:00:16
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,17,0:00:17
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,18,0:00:18
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,19,0:00:19
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,20,0:00:20
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,21,0:00:21
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,22,0:00:22
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,23,0:00:23
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,24,0:00:24
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,25,0:00:25
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,26,0:00:26
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,27,0:00:27
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,28,0:00:28
52.050379,5.760956,52.067689,5.655212,52.103131,5.743103,29,0:00:29
